#hmm_acc	iso_type	hmm_name	hmm_com_name	hmm_len	trusted_cutoff	noise_cutoff	trusted_cutoff2	noise_cutoff2
PF06243	PFAM	PaaB	Phenylacetic acid degradation B	90	2.70	-8.40	2.70	-8.40
PF06244	PFAM	DUF1014	Protein of unknown function (DUF1014)	274	-47.10	-90.90	-47.10	-90.90
PF06245	PFAM	DUF1015	Protein of unknown function (DUF1015)	451	62.20	18.50	62.20	18.50
PF06246	PFAM	Isy1	Isy1-like splicing family	284	28.30	8.20	28.30	8.20
PF06247	PFAM	Plasmod_Pvs28	Plasmodium ookinete surface protein Pvs28	231	95.30	-67.70	95.30	-67.70
PF06248	PFAM	Zw10	Centromere/kinetochore Zw10	684	59.00	-104.80	59.00	-104.80
PF06249	PFAM	EutQ	ethanolamine utilization protein EutQ	152	29.50	22.70	29.50	22.70
PF06250	PFAM	DUF1016	Protein of unknown function (DUF1016)	333	-182.10	-191.10	-182.10	-191.10
PF06251	PFAM	DUF1017	Protein of unknown function (DUF1017)	268	78.90	14.40	78.90	14.40
PF06252	PFAM	DUF1018	Protein of unknown function (DUF1018)	159	46.10	12.50	46.10	12.50
PF06253	subfamily	MTTB	Trimethylamine methyltransferase (MTTB)	517	35.10	-231.40	35.10	-231.40
PF06254	PFAM	DUF1019	Protein of unknown function (DUF1019)	187	48.20	-30.90	48.20	-30.90
PF06255	PFAM	DUF1020	Protein of unknown function (DUF1020)	513	657.60	-191.00	657.60	-191.00
PF06256	PFAM	Nucleo_LEF-12	Nucleopolyhedrovirus LEF-12 protein	203	48.60	-73.00	48.60	-73.00
PF06257	PFAM	DUF1021	Protein of unknown function (DUF1021)	80	34.30	-11.50	34.30	-11.50
PF06258	PFAM	DUF1022	Protein of unknown function (DUF1022)	407	25.10	8.40	25.10	8.40
PF06259	PFAM	DUF1023	Domain of unknown function (DUF1023)	197	-37.70	-67.90	-37.70	-67.90
PF06260	PFAM	DUF1024	Protein of unknown function (DUF1024)	82	112.20	3.00	112.20	3.00
PF06261	PFAM	LktC	Actinobacillus actinomycetemcomitans leukotoxin activator LktC	150	79.80	-24.20	79.80	-24.20
PF06262	PFAM	DUF1025	Domain of unknown function (DUF1025)	122	37.40	22.00	37.40	22.00
PF06263	PFAM	FdrA	Bacterial FdrA protein	557	135.40	-67.90	135.40	-67.90
PF06264	PFAM	DUF1026	Protein of unknown function (DUF1026)	124	29.50	23.50	29.50	23.50
PF06265	PFAM	DUF1027	Protein of unknown function (DUF1027)	87	98.80	-28.90	98.80	-28.90
PF06266	PFAM	HrpF	HrpF protein	75	72.60	13.50	72.60	13.50
PF06267	PFAM	DUF1028	Family of unknown function (DUF1028)	202	-46.60	-124.00	-46.60	-124.00
PF06268	subfamily_domain	Fascin	Fascin domain	127	23.30	12.10	23.30	12.10
PF06269	PFAM	DUF1029	Protein of unknown function (DUF1029)	53	43.70	-4.20	43.70	-4.20
PF06270	PFAM	DUF1030	Protein of unknown function (DUF1030)	53	141.80	11.00	141.80	11.00
PF06271	domain	RDD	RDD family	161	1.30	-0.40	1.30	-0.40
PF06272	PFAM	eIF-3_p25	Eukaryotic translation initiation factor 3 subunit 11 (eIF-3 p25)	249	63.00	-98.00	63.00	-98.00
PF06273	PFAM	eIF-4B	Plant specific eukaryotic initiation factor 4B	621	-176.00	-209.30	-176.00	-209.30
PF06274	PFAM_equivalog	Mu-like_GpL	bacteriophage Mu tail sheath protein (GpL)	511	207.50	-30.70	207.50	-30.70
PF06275	PFAM	DUF1031	Protein of unknown function (DUF1031)	80	170.40	-0.80	170.40	-0.80
PF06276	PFAM	FhuF	Ferric iron reductase protein FhuF	324	29.10	23.00	29.10	23.00
PF06277	PFAM_equivalog	EutA	ethanolamine utilization protein EutA	479	375.10	-25.00	375.10	-25.00
PF06278	PFAM	DUF1032	Protein of unknown function (DUF1032)	568	194.40	0.40	194.40	0.40
PF06279	PFAM	DUF1033	Protein of unknown function (DUF1033)	121	25.50	22.40	25.50	22.40
PF06280	domain	DUF1034	Domain of Unknown Function (DUF1034)	133	-10.90	-14.00	-10.90	-14.00
PF06281	PFAM	DUF1035	Protein of unknown function (DUF1035)	91	33.70	-7.10	33.70	-7.10
PF06282	PFAM	DUF1036	Protein of unknown function (DUF1036)	134	34.30	20.20	34.30	22.60
PF06283	PFAM	DUF1037	Protein of unknown function (DUF1037)	241	-88.20	-101.90	-88.20	-101.90
PF06284	PFAM	Cytomega_UL84	Cytomegalovirus UL84 protein	639	-131.00	-131.00	-131.00	-131.00
PF06285	PFAM	DUF1038	Protein of unknown function (DUF1038)	182	126.00	-41.20	126.00	-41.20
PF06286	PFAM	Coleoptericin	Coleoptericin	144	73.10	-16.50	33.60	-16.50
PF06287	PFAM	DUF1039	Protein of unknown function (DUF1039)	92	30.60	1.00	30.60	1.00
PF06288	PFAM	DUF1040	Protein of unknown function (DUF1040)	88	127.50	1.60	127.50	1.60
PF06289	PFAM	FlbD	Flagellar protein (FlbD)	60	49.50	-13.60	49.50	-13.60
PF06290	PFAM	PsiB	Plasmid SOS inhibition protein (PsiB)	143	87.90	1.80	87.90	1.80
PF06291	PFAM	Lambda_Bor	Bor protein	97	125.10	18.40	125.10	18.40
PF06292	domain	DUF1041	Domain of Unknown Function (DUF1041)	121	39.90	21.20	39.90	21.20
PF06293	subfamily	Kdo	lipopolysaccharide kinase, Kdo/WaaP family	223	-13.10	-15.00	-13.10	-15.00
PF06294	PFAM	DUF1042	Domain of Unknown Function (DUF1042)	167	25.20	24.90	25.20	24.90
PF06295	hypoth_equivalog	DUF1043	conserved hypothetical protein	133	-28.20	-31.00	-28.20	-31.00
PF06296	PFAM	DUF1044	Protein of unknown function (DUF1044)	124	31.60	22.40	31.60	22.40
PF06297	domain	PET	PET domain	107	38.40	0.90	38.40	0.90
PF06298	PFAM	PsbY	Photosystem II protein Y (PsbY)	36	16.50	13.60	17.30	13.60
PF06299	PFAM	DUF1045	Protein of unknown function (DUF1045)	232	28.60	-51.60	28.60	-51.60
PF06300	PFAM	Tsp45I	Tsp45I type II restriction enzyme	334	365.90	-125.20	365.90	-125.20
PF06301	PFAM	Lambda_Kil	bacteriophage lambda Kil family protein	89	75.60	9.90	75.60	9.90
PF06302	PFAM	DUF1046	Protein of unknown function (DUF1046)	149	380.40	-14.60	380.40	-14.60
PF06303	PFAM	DUF1047	Protein of unknown function (DUF1047)	149	172.00	-52.80	172.00	-52.80
PF06304	PFAM	DUF1048	Protein of unknown function (DUF1048)	105	59.60	-9.90	59.60	-9.90
PF06305	hypoth_equivalog	DUF1049	conserved hypothetical protein	89	40.10	20.70	40.10	20.70
PF06306	PFAM	CgtA	Beta-1,4-N-acetylgalactosaminyltransferase (CgtA)	347	75.10	-113.50	75.10	-113.50
PF06307	PFAM	Herpes_IR6	Herpesvirus IR6 protein	235	99.70	-85.10	99.70	-85.10
PF06308	PFAM_equivalog	ErmC	23S rRNA methylase leader peptide (ErmC)	31	25.40	23.00	25.40	12.90
PF06309	subfamily	Torsin	Torsin	297	69.90	22.00	69.90	22.00
PF06311	subfamily_domain	NumbF	NUMB phenylalanine-rich region	165	36.90	-24.00	36.90	-24.00
PF06312	subfamily	Neurexophilin	Neurexophilin	286	-110.30	-124.10	-110.30	-124.10
PF06313	paralog	ACP53EA	Drosophila ACP53EA protein	120	27.30	24.20	27.30	24.20
PF06314	PFAM_equivalog	ADC	putative acetoacetate decarboxylase	265	-79.30	-85.00	-79.30	-85.00
PF06315	PFAM_equivalog	AceK	isocitrate dehydrogenase kinase/phosphatase	577	-288.80	-397.40	-288.80	-397.40
PF06316	subfamily	Ail_Lom	Enterobacterial Ail/Lom protein	199	2.20	-30.20	2.20	-30.20
PF06317	PFAM	Arena_RNA_pol	Arenavirus RNA polymerase	2295	3314.60	-1380.50	3314.60	-1380.50
PF06318	PFAM	DUF1051	Protein of unknown function (DUF1051)	252	232.90	-56.60	232.90	-56.60
PF06319	PFAM	DUF1052	Protein of unknown function (DUF1052)	158	113.70	-4.00	113.70	-4.00
PF06320	PFAM	GCN5L1	GCN5-like protein 1 (GCN5L1)	121	32.30	20.30	32.30	20.30
PF06321	PFAM	P_gingi_FimA	Porphyromonas gingivalis major fimbrial subunit protein (FimA)	373	492.00	-212.50	492.00	-212.50
PF06322	PFAM	Phage_NinH	Phage NinH protein	64	56.50	5.50	56.50	5.50
PF06323	PFAM	Phage_antiter_Q	Phage antitermination protein Q	229	44.70	17.10	44.70	17.10
PF06324	PFAM_equivalog_domain	Pigment_DH	Pigment-dispersing hormone (PDH)	18	25.10	19.50	26.10	19.00
PF06325	PFAM_equivalog	PrmA	ribosomal protein L11 methyltransferase	312	-144.40	-144.60	-144.40	-144.60
PF06326	PFAM	Vesiculo_matrix	Vesiculovirus matrix protein	247	264.30	16.30	264.30	16.30
PF06327	subfamily_domain	DUF1053	Domain of Unknown Function (DUF1053)	127	4.80	-7.60	4.80	-7.60
PF06328	domain	Lep_receptor_Ig	Ig-like C2-type domain	103	31.80	16.30	31.80	16.30
PF06329	PFAM	Fungal_ODC_AZ	Fungal ornithine decarboxylase antizyme	234	-103.80	-118.90	-103.80	-118.90
PF06330	PFAM_equivalog	TRI5	trichodiene synthase (TRI5)	375	169.70	-20.60	169.70	-20.60
PF06331	PFAM	Tbf5	REX1 DNA Repair	72	27.80	3.30	27.80	3.30
PF06332	PFAM	Corona_RPol	RNA-directed polymerase	197	166.40	20.00	166.40	20.00
PF06333	PFAM	TRAP_240kDa	TRAP240	680	403.80	17.40	403.80	17.40
PF06334	PFAM	Orthopox_A47	Orthopoxvirus A47 protein	244	29.00	-44.30	29.00	-44.30
PF06335	PFAM	DUF1054	Protein of unknown function (DUF1054)	204	50.80	-25.80	50.80	-25.80
PF06336	PFAM	Corona_5a	Coronavirus 5a protein	65	147.50	5.70	147.50	5.70
PF06337	subfamily_domain	DUF1055	Domain of Unknown Function (DUF1055)	147	26.60	22.00	26.60	22.00
PF06338	PFAM_equivalog	ComK	competence transcription factor ComK	190	-24.10	-54.90	-24.10	-54.90
PF06339	PFAM_equivalog	Ectoine_synth	ectoine synthase	130	36.10	-58.20	36.10	-58.20
PF06340	PFAM	TcpF	Vibrio cholerae toxin co-regulated pilus biosynthesis protein F (TcpF)	357	707.30	-136.70	707.30	-136.70
PF06341	PFAM	DUF1056	Protein of unknown function (DUF1056)	59	27.20	22.60	27.20	22.60
PF06342	PFAM	DUF1057	Alpha/beta hydrolase of unknown function (DUF1057)	315	546.50	-160.00	546.50	-160.00
PF06343	PFAM	Picornain_3C	Cys_protease 3C-related family	201	588.50	-79.20	588.50	-79.20
PF06344	PFAM_equivalog_domain	Parecho_VpG	Parechovirus Genome-linked protein	20	44.90	17.70	44.90	13.60
PF06345	PFAM	Drf_DAD	DRF Autoregulatory Domain	15	27.10	21.10	27.10	18.60
PF06346	PFAM	Drf_FH1	Formin Homology Region 1	159	36.60	23.30	36.60	23.30
PF06347	domain	SH3_4	Bacterial SH3 domain	57	14.70	14.50	14.70	14.50
PF06348	PFAM	DUF1059	Protein of unknown function (DUF1059)	59	34.30	19.60	34.30	19.60
PF06349	PFAM	DUF1060	Domain of Unknown Function (DUF1060)	369	176.30	-277.40	176.30	-277.40
PF06350	PFAM_equivalog_domain	HSL_N	hormone-sensitive lipase, N-terminus	315	-8.80	-77.10	-8.80	-77.10
PF06351	PFAM	Allene_ox_cyc	Allene oxide cyclase	182	384.10	-19.60	384.10	-19.60
PF06352	PFAM	DUF1061	Protein of unknown function (DUF1061)	223	-15.20	-20.30	-15.20	-20.30
PF06353	PFAM	DUF1062	Protein of unknown function (DUF1062)	182	34.80	-50.60	34.80	-50.60
PF06354	PFAM	DUF1063	Protein of unknown function (DUF1063)	430	141.60	16.40	141.60	16.40
PF06355	PFAM	Aegerolysin	Aegerolysin	137	-2.90	-8.90	-2.90	-8.90
PF06356	PFAM	DUF1064	Protein of unknown function (DUF1064)	128	-3.20	-17.70	-3.20	-17.70
PF06357	PFAM	Omega-toxin	Omega-atracotoxin	37	23.30	13.00	23.30	13.00
PF06358	PFAM	DUF1065	Protein of unknown function (DUF1065)	131	37.50	-17.10	37.50	-17.10
PF06359	PFAM	DUF1066	Protein of unknown function (DUF1066)	93	93.40	2.40	93.40	2.40
PF06360	PFAM	E_raikovi_mat	Euplotes raikovi mating pheromone	39	58.90	10.20	58.90	10.20
PF06361	PFAM	RTBV_P12	Rice tungro bacilliform virus P12 protein	111	150.30	-11.60	150.30	-11.60
PF06362	PFAM	DUF1067	Protein of unknown function (DUF1067)	112	274.70	-11.80	274.70	-11.80
PF06363	PFAM	Picorna_P3A	Picornaviridae P3A protein	102	215.90	-3.90	215.90	-3.90
PF06364	PFAM	DUF1068	Protein of unknown function (DUF1068)	181	86.50	-40.30	86.50	-40.30
PF06365	PFAM	CD34_antigen	CD34/Podocalyxin family	224	51.20	-22.80	51.20	-22.80
PF06366	PFAM	FlhE	Flagellar protein FlhE	133	31.50	9.20	31.50	9.20
PF06367	PFAM	Drf_FH3	Diaphanous FH3 Domain	234	30.20	12.60	30.20	12.60
PF06368	PFAM	Met_asp_mut_E	Methylaspartate mutase E chain (MutE)	445	228.70	-290.50	228.70	-290.50
PF06369	PFAM	Anemone_cytotox	Sea anemone cytotoxic protein	177	128.10	-10.00	128.10	-10.00
PF06370	PFAM	DUF1069	Protein of unknown function (DUF1069)	206	614.50	-58.70	614.50	-58.70
PF06371	PFAM	Drf_GBD	Diaphanous GTPase-binding Domain	323	27.50	18.60	27.50	18.60
PF06372	PFAM	Gemin6	gemin6 protein	167	41.70	-21.70	41.70	-21.70
PF06373	PFAM	CART	Cocaine and amphetamine regulated transcript protein (CART)	123	47.40	-24.40	47.40	-24.40
PF06374	PFAM	NDUF_C2	NADH-ubiquinone oxidoreductase subunit b14.5b (NDUFC2)	117	32.40	12.60	32.40	12.60
PF06375	PFAM	BLVR	Bovine leukaemia virus receptor (BLVR)	644	129.40	-76.90	129.40	-76.90
PF06376	PFAM	DUF1070	Protein of unknown function (DUF1070)	55	30.20	15.80	30.20	15.80
PF06377	PFAM	Adipokin_hormo	Adipokinetic hormone	63	11.20	6.40	11.20	6.40
PF06378	PFAM	DUF1071	Protein of unknown function (DUF1071)	207	34.00	-4.90	34.00	-4.90
PF06379	PFAM	RhaT	L-rhamnose-proton symport protein (RhaT)	344	-13.70	-122.00	-13.70	-122.00
PF06380	PFAM	DUF1072	Protein of unknown function (DUF1072)	40	28.70	24.90	28.70	24.90
PF06381	PFAM	DUF1073	Protein of unknown function (DUF1073)	407	29.50	23.60	29.50	23.60
PF06382	PFAM	DUF1074	Protein of unknown function (DUF1074)	103	212.70	-4.80	212.70	-4.80
PF06383	PFAM	P_denitri_CobS	cobalamin biosynthesis protein CobS	328	26.80	22.70	26.80	22.70
PF06384	PFAM	ICAT	Beta-catenin-interacting protein ICAT	81	43.70	-1.30	43.70	-1.30
PF06385	PFAM	Baculo_LEF-11	Baculovirus LEF-11 protein	98	84.30	-6.80	84.30	-6.80
PF06386	subfamily	GvpL_GvpF	gas vesicle protein, GvpL/GvpF family	275	-45.00	-48.50	-45.00	-48.50
PF06387	PFAM	Calcyon	D1 dopamine receptor-interacting protein (calcyon)	220	50.20	-102.30	50.20	-102.30
PF06388	PFAM	DUF1075	Protein of unknown function (DUF1075)	159	28.90	20.20	28.90	20.20
PF06389	PFAM	Filo_VP24	Filovirus membrane-associated protein VP24	253	514.30	-113.50	514.30	-113.50
PF06390	PFAM	NESP55	Neuroendocrine-specific golgi protein P55 (NESP55)	261	25.50	-49.00	25.50	-49.00
PF06391	PFAM	MAT1	CDK-activating kinase assembly factor MAT1	206	-47.50	-59.30	-47.50	-59.30
PF06392	repeat	Asr	acid shock repeat	21	23.10	22.70	4.70	14.80
PF06393	PFAM	BID	BH3 interacting domain (BID)	197	32.60	-34.60	32.60	-34.60
PF06394	domain	Pepsin-I3	Pepsin inhibitor-3-like repeated domain	77	108.70	-2.90	82.70	-2.90
PF06395	PFAM	CDC24	CDC24 Calponin	90	38.00	21.80	38.00	21.80
PF06396	PFAM	AGTRAP	Angiotensin II, type I receptor-associated protein (AGTRAP)	161	194.50	17.30	194.50	17.30
PF06397	domain	Desulfoferrod_N	Desulfoferrodoxin, N-terminal domain	36	25.80	22.90	25.80	22.90
PF06398	PFAM	Pex24p	Integral peroxisomal membrane peroxin	563	30.90	19.80	30.90	19.80
PF06399	PFAM_equivalog	GFRP	GTP cyclohydrolase I feedback regulatory protein (GFRP)	83	183.60	-4.30	183.60	-4.30
PF06400	domain	Alpha-2-MRAP_N	Alpha-2-macroglobulin RAP, N-terminal domain	134	134.50	-16.20	134.50	-16.20
PF06401	domain	Alpha-2-MRAP_C	Alpha-2-macroglobulin RAP, C-terminal domain	237	181.20	-62.10	181.20	-62.10
PF06402	PFAM	Hisactophilin	Histidine-rich actin-binding protein (hisactophilin)	117	300.00	-13.60	300.00	-13.60
PF06403	PFAM	Lamprin	Lamprin	138	270.60	-17.30	270.60	-17.30
PF06404	PFAM	PSK	Phytosulfokine precursor protein (PSK)	96	38.80	0.80	38.80	0.80
PF06405	PFAM	RCC_reductase	Red chlorophyll catabolite reductase (RCC reductase)	272	52.30	-99.40	52.30	-99.40
PF06406	PFAM	StbA	StbA protein	331	-179.90	-187.50	-179.90	-187.50
PF06407	PFAM	BDV_P40	Borna disease virus P40 protein	370	-61.10	-141.10	-61.10	-141.10
PF06408	PFAM	Homo_sperm_syn	Homospermidine synthase	487	116.40	-140.00	116.40	-140.00
PF06409	PFAM	NPIP	Nuclear pore complex interacting protein (NPIP)	350	-24.40	-140.10	-24.40	-140.10
PF06410	PFAM	Gurmarin	gurmarin	35	101.60	20.30	101.60	20.30
PF06411	PFAM	HdeA	hns-dependent expression protein A (HdeA)	79	75.20	7.10	75.20	7.10
PF06412	PFAM	TraD	Conjugal transfer protein TraD	72	27.70	24.80	27.70	24.80
PF06413	PFAM	Neugrin	Neugrin	222	90.20	-33.60	90.20	-33.60
PF06414	PFAM	Zeta_toxin	Zeta toxin	230	-21.40	-40.90	-21.40	-40.90
PF06415	PFAM	iPGM_N	BPG-independent PGAM N-terminus (iPGM_N)	367	-244.60	-278.40	-244.60	-278.40
PF06416	PFAM	DUF1076	Protein of unknown function (DUF1076)	210	82.50	-77.20	82.50	-77.20
PF06417	PFAM	DUF1077	Protein of unknown function (DUF1077)	184	34.70	5.30	34.70	5.30
PF06418	PFAM	CTP_synth_N	CTP synthase N-terminus	282	51.80	12.90	51.80	12.90
PF06419	PFAM	COG6	Conserved oligomeric complex COG6	727	69.10	-11.30	69.10	-11.30
PF06420	PFAM	Mgm101p	Mitochondrial genome maintenance MGM101	246	290.10	-21.70	290.10	-21.70
PF06421	PFAM	LepA_C	GTP-binding protein LepA C-terminus	109	31.60	-14.00	31.60	-14.00
PF06422	PFAM	PDR_CDR	CDR ABC transporter	160	-1.00	-38.80	-1.00	-38.80
PF06423	PFAM	GWT1	GWT1	197	-15.80	-26.20	-15.80	-26.20
PF06424	PFAM	PRP1_N	PRP1 splicing factor, N-terminal	164	32.60	-56.50	32.60	-56.50
PF06425	PFAM	Psf3	Partner of SLD five, PSF3	188	29.20	23.30	29.20	23.30
PF06426	PFAM	SATase_N	Serine acetyltransferase, N-terminal	105	59.80	-16.40	43.90	-16.40
PF06427	PFAM	UDP-g_GGTase	UDP-glucose:Glycoprotein Glucosyltransferase	236	37.20	18.90	37.20	18.90
PF06428	PFAM	Sec2p	GDP/GTP exchange factor Sec2p	136	26.70	17.00	26.70	17.00
PF06429	PFAM	DUF1078	Domain of unknown function (DUF1078)	39	10.10	9.90	10.10	9.90
PF06430	PFAM	L_lactis_RepB_C	Lactococcus lactis RepB C-terminus	122	69.20	-0.10	69.20	-0.10
PF06431	PFAM	Polyoma_lg_T_C	Polyomavirus large T antigen C-terminus	425	-90.90	-140.40	-90.90	-140.40
PF06432	PFAM	GPI2	Phosphatidylinositol N-acetylglucosaminyltransferase	255	27.90	2.60	27.90	2.60
PF06433	PFAM_equivalog	Me-amine-dh_H	methylamine dehydrogenase, heavy chain	343	49.30	19.50	49.30	19.50
PF06434	PFAM_equivalog_domain	Aconitase_2_N	aconitate hydratase 2, N-terminal domain	384	458.10	-3.50	458.10	-3.50
PF06435	PFAM	DUF1079	Repeat of unknown function (DUF1079)	31	71.00	22.50	0.40	22.50
PF06436	PFAM	Pneumovirus_M2	Pneumovirus matrix protein 2 (M2)	160	140.60	-42.20	140.60	-42.20
PF06437	PFAM	ISN1	IMP-specific 5'-nucleotidase	451	288.20	-241.50	288.20	-241.50
PF06438	PFAM	HasA	Heme-binding protein A (HasA)	217	54.40	9.20	54.40	9.20
PF06439	PFAM	DUF1080	Domain of Unknown Function (DUF1080)	287	29.50	24.10	29.50	24.10
PF06440	PFAM	DNA_pol3_theta	DNA polymerase III, theta subunit	79	51.00	17.60	51.00	17.60
PF06441	PFAM	EHN	Epoxide hydrolase N terminus	118	34.60	23.90	34.60	23.90
PF06442	PFAM	DHFR_2	R67 dihydrofolate reductase	78	201.40	3.70	201.40	3.70
PF06443	PFAM	SEF14_adhesin	SEF14-like adhesin	165	380.30	-51.50	380.30	-51.50
PF06444	PFAM	NADH_dehy_S2_C	NADH dehydrogenase subunit 2 C-terminus	55	26.80	26.70	26.80	26.70
PF06445	domain	AraC_E_bind	Bacterial transcription activator, effector binding domain	161	20.60	18.60	20.60	18.60
PF06446	PFAM	Hepcidin	Hepcidin	85	31.90	16.50	31.90	16.50
PF06447	PFAM	TraB_pillus	TraB pilus assembly protein	477	32.50	-9.90	32.50	-9.90
PF06448	PFAM	DUF1081	Domain of Unknown Function (DUF1081)	161	26.70	20.90	26.70	20.90
PF06449	PFAM	DUF1082	Mitochondrial domain of unknown function (DUF1082)	66	44.90	12.40	44.90	12.40
PF06450	PFAM	NhaB	Bacterial Na+/H+ antiporter B (NhaB)	515	117.60	-59.00	117.60	-59.00
PF06451	PFAM	Moricin	Moricin	41	37.40	13.10	37.40	13.10
PF06452	PFAM	DUF1083	Domain of unknown function (DUF1083)	201	29.60	-69.90	29.60	-69.90
PF06453	PFAM	LT-IIB	Type II heat-labile enterotoxin , B subunit (LT-IIB)	122	376.80	-46.00	376.80	-46.00
PF06454	PFAM	DUF1084	Protein of unknown function (DUF1084)	285	74.00	9.20	74.00	9.20
PF06455	PFAM	NADH5_C	NADH dehydrogenase subunit 5 C-terminus	184	-53.90	-54.00	-53.90	-54.00
PF06456	domain	Arfaptin	Arfaptin-like domain	245	-77.30	-80.70	-77.30	-80.70
PF06457	PFAM	Ectatomin	Ectatomin	34	86.40	8.40	86.40	8.40
PF06458	domain	MucBP	MucBP domain	108	28.50	22.80	0.10	22.80
PF06459	PFAM	RR_TM4-6	Ryanodine Receptor TM 4-6	322	-51.70	-107.50	-51.70	-107.50
PF06460	PFAM	NSP13	Coronavirus NSP13	303	32.90	17.10	32.90	17.10
PF06461	PFAM	DUF1086	Domain of Unknown Function (DUF1086)	168	118.40	-22.20	118.40	-22.20
PF06462	PFAM	Hyd_WA	Propeller	34	43.20	14.40	22.30	20.50
PF06463	PFAM	Mob_synth_C	molybdenum cofactor biosynthesis protein A	132	47.40	-12.80	47.40	-12.80
PF06464	PFAM	DMAP_binding	DMAP1-binding Domain	116	54.30	23.80	54.30	23.80
PF06465	PFAM	DUF1087	Domain of Unknown Function (DUF1087)	67	34.30	13.90	34.30	13.90
PF06466	domain	PCAF_N	PCAF (P300/CBP-associated factor) N-terminal domain	276	37.20	-107.80	37.20	-107.80
PF06467	PFAM	zf-MYM	MYM-type Zinc finger	43	87.20	79.50	0.00	44.40
PF06468	PFAM	Spond_N	Spondin_N	255	-82.90	-97.40	-82.90	-97.40
PF06469	PFAM	DUF1088	Domain of Unknown Function (DUF1088)	201	326.70	-84.10	326.70	-84.10
PF06470	PFAM	SMC_hinge	SMC proteins Flexible Hinge Domain	124	25.00	24.90	25.00	24.90
PF06471	PFAM	NSP11	NSP11	606	104.70	-78.40	104.70	-78.40
PF06472	PFAM	ABC_membrane_2	ABC transporter transmembrane region 2	297	-93.20	-99.60	-93.20	-99.60
PF06473	PFAM	FGF-BP1	FGF binding protein 1 (FGF-BP1)	263	28.80	11.80	28.80	11.80
PF06474	PFAM	MLTD_N	MLTD_N	111	25.10	24.90	25.10	24.90
PF06475	PFAM	DUF1089	Protein of unknown function (DUF1089)	206	52.80	7.30	52.80	7.30
PF06476	PFAM	DUF1090	Protein of unknown function (DUF1090)	116	31.00	17.30	31.00	17.30
PF06477	PFAM	DUF1091	Protein of unknown function (DUF1091)	171	212.80	-68.10	212.80	-68.10
PF06478	PFAM	Corona_RPol_N	Coronavirus RPol N-terminus	357	98.30	-84.40	98.30	-84.40
PF06479	PFAM	Ribonuc_2-5A	Ribonuclease 2-5A	136	47.40	21.50	47.40	21.50
PF06480	PFAM	FtsH_ext	FtsH, extracellular	172	26.90	24.80	26.90	24.80
PF06481	PFAM	COX_ARM	COX Aromatic Rich Motif	50	25.50	23.80	25.50	23.80
PF06482	PFAM	Endostatin	Collagenase NC10 and Endostatin	357	-109.30	-154.50	-109.30	-154.50
PF06483	PFAM	ChiC	Chitinase C	195	207.10	-86.00	207.10	-86.00
PF06484	PFAM	Ten_N	Teneurin Intracellular Region	409	98.60	3.40	98.60	3.40
PF06485	PFAM	DUF1092	Protein of unknown function (DUF1092)	307	3.70	-173.00	3.70	-173.00
PF06486	PFAM	DUF1093	Protein of unknown function (DUF1093)	130	-3.40	-6.30	-3.40	-6.30
PF06487	PFAM	SAP18	Sin3 associated polypeptide p18 (SAP18)	127	-48.00	-50.30	-48.00	-50.30
PF06488	PFAM	L_lac_phage_MSP	Lactococcus lactis bacteriophage major structural protein	301	853.40	-55.00	853.40	-55.00
PF06489	PFAM	Orthopox_A49R	Orthopoxvirus A49R protein	162	39.40	-27.90	39.40	-27.90
PF06490	PFAM	FleQ	Flagellar regulatory protein FleQ	127	36.00	24.10	36.00	24.10
PF06491	PFAM	DUF1094	Protein of unknown function (DUF1094)	144	136.30	-54.40	136.30	-54.40
PF06492	PFAM	DUF1095	Protein of unknown function (DUF1095)	123	51.60	22.90	51.60	22.90
PF06493	PFAM	DUF1096	Protein of unknown function (DUF1096)	71	29.10	22.90	29.10	22.90
PF06495	PFAM	Transformer	Fruit fly transformer protein	191	-7.40	-9.70	-7.40	-9.70
PF06496	PFAM	DUF1097	Protein of unknown function (DUF1097)	163	60.70	8.30	60.70	8.30
PF06497	PFAM	DUF1098	Protein of unknown function (DUF1098)	110	48.10	-1.20	48.10	-1.20
PF06498	PFAM	Ad_Cycl_assoc	Adenylate cyclase associated	302	0.60	-38.50	0.60	-38.50
PF06499	PFAM	DUF1099	Protein of unknown function (DUF1099)	102	76.90	-43.20	76.90	-43.20
PF06500	PFAM	DUF1100	Alpha/beta hydrolase of unknown function (DUF1100)	416	-136.80	-137.70	-136.80	-137.70
PF06501	PFAM	Herpes_U55	Human herpesvirus U55 protein	439	-195.80	-197.70	-195.80	-197.70
PF06502	PFAM	Equine_IAV_S2	Equine infectious anaemia virus S2 protein	67	164.70	-10.00	164.70	-10.00
PF06503	PFAM	DUF1101	Protein of unknown function (DUF1101)	362	181.10	-82.20	181.10	-82.20
PF06504	PFAM	RepC	Replication protein C (RepC)	288	100.20	8.90	100.20	8.90
PF06505	PFAM	XylR_N	Activator of aromatic catabolism	105	-28.20	-50.00	-28.20	-50.00
PF06506	PFAM	PrpR_N	Propionate catabolism activator	178	-34.30	-52.60	-34.30	-52.60
PF06507	PFAM	Auxin_resp	Auxin response factor	84	26.00	22.60	26.00	22.60
PF06508	PFAM	ExsB	ExsB	188	-91.90	-92.00	-91.90	-92.00
PF06509	PFAM	HtpX_N	HtpX N-terminus	91	37.70	-17.50	37.70	-17.50
